10/01/1998,England,City of London,51.514125,-0.093689,Circle,Large orange ball of light over London late 1990&#39s
21/01/1998,England,Bradford,53.795984,-1.759398,Oval,Whilst waiting for my wagon to be unloaded i was looking up at a clear sky  suddenly 4 dull orangey(glowing maybe) oval shapes passed t
29/01/1998,England,Burton-on-Trent,52.79451,-1.62316,Triangle,A Triangular object with lights in each corner and a central light was seen. It circled slowly at low altitude (500 ft) below cloud cov
15/02/1998,Wales,Newborough,53.164868,-4.359065,Triangle,a large triangle with orange lights on each of the three corners
01/03/1998,England,Sunderland,54.911944,-1.383333,Rectangle,Oblong craft&#44 moved slowly across night sky out to sea. No noise or lights
06/03/1998,England,Southampton,50.9,-1.4,Changing,we had been out and on the way home (because we had to be home by 12;00) and the sky lit up and a purple and brown shape appeared it wa
23/03/1998,England,Lichfield,52.683333,-1.816667,Cigar,Golden cigar tail fin&#44 motionless in sky&#44 high elevation&#44 sudden brilliant flash of light preceding total disappearance. Viewed from ca
10/04/1998,Northern Ireland,,54.787715,-6.492315,Triangle,The object went over the top of me at bicycle speed with no noise.
15/04/1998,England,Cromer,52.931448,1.301866,Sphere,ball the size of a childs soccer ball&#44 flying eratically at head height above the car&#44 and at end of the road to my house.
15/05/1998,England,Manchester,53.5,-2.216667,Triangle,Triangular craft spotted low down in UK.
17/05/1998,England,Wimborne Minster,50.800657,-1.984495,Triangle,I was standing at my back door having a cigarete when I saw 3 bright orange lights in a perfect triangular fashion moving very slowly t
01/06/1998,England,Trowbridge,51.318889,-2.208611,Light,3 large orange lights&#44 stationary in a line&#44 suddenly vanished one by one.
06/06/1998,Scotland,Carrington,55.833333,-3.083333,Fireball,moved slowly in one direction&#44 paused for 3/4 mins before turning 90 degrees and moving away from us.
11/06/1998,England,Gateshead,54.945,-1.6175,Triangle,black trianglur craft with colour lights underneath it.
12/06/1998,England,Wichling,51.25,0.75,Circle,there were 2 craft one was higher than the other and we followed them home in my car when we arrived home i decided to go to the meadow
16/06/1998,England,Hatfield,53.594495,-1.030037,Other,A very strange thing
07/07/1998,England,Liverpool,53.416667,-3,Light,Liverpool July 98&#44 bright star like UFO. Moved at varied unexplainable speeds before disapering
15/07/1998,England,City of London,51.514125,-0.093689,Other,I saw a silent unlit  grey banana shaped ufo
17/07/1998,England,Scunthorpe,53.583333,-0.65,Unknown,Lights shining on the floor next to me.
18/07/1998,England,Broadstairs,51.333333,1.433333,Light,Thre lights High Level >40&#44000ft over Ramsgate in Kent UK in 1998 at about 9PM+
20/07/1998,England,,51.583333,-0.166667,Triangle,A Trinangular shape with a slightly concave back edge flew acroos the sky. It was glowing gold.
23/07/1998,England,Nuncargate,53.083333,-1.266667,Other,It was just like 2 stars circling each other.
